WILAYA,COMMUNE,ZONE_RPA,nb_polices,capital_B,pml_B,pml_to_capital_pct,zone_concentration_pct,DECISION,ACTION
ALGER,SEHAILIA,Zone III,2,0.007,0.002,28.57,0.0,ADJUST,Increase premium 15-30%
ALGER,SIDI FREDJ,Zone III,1,0.007,0.002,28.57,0.0,ADJUST,Increase premium 15-30%
ALGER,OULED YAICH BLIDA,Zone III,2,0.007,0.002,28.57,0.0,ADJUST,Increase premium 15-30%
ALGER,FOUKA,Zone III,2,0.006,0.002,33.33,0.0,ADJUST,Increase premium 15-30%
ALGER,DELLYS,Zone III,1,0.006,0.002,33.33,0.0,ADJUST,Increase premium 15-30%
ALGER,CONSTANTINE,Zone III,2,0.006,0.002,33.33,0.0,ADJUST,Increase premium 15-30%
ALGER,SOUMAA BLIDA,Zone III,1,0.006,0.002,33.33,0.0,ADJUST,Increase premium 15-30%
BOUMERDES,SIDI MOUSSA,Zone III,2,0.006,0.002,33.33,0.0,ADJUST,Increase premium 15-30%
BOUMERDES,OULED AISSA BOUMERDES,Zone III,3,0.006,0.002,33.33,0.0,ADJUST,Increase premium 15-30%
BOUMERDES,BOUZEGZA KEDDARA,Zone IIb,1,0.006,0.001,16.67,0.0,ACCEPT,Maintain current exposure
BOUMERDES,DJANET,Zone III,3,0.006,0.002,33.33,0.0,ADJUST,Increase premium 15-30%
BLIDA,TIPAZA,Zone III,2,0.005,0.001,20.0,0.0,ACCEPT,Maintain current exposure
TIPAZA,OULED FAYET,Zone III,1,0.005,0.001,20.0,0.0,ACCEPT,Maintain current exposure
BOUMERDES,ROUIBA,Zone III,2,0.005,0.001,20.0,0.0,ACCEPT,Maintain current exposure
ALGER,MEDEA,Zone III,1,0.005,0.002,40.0,0.0,ADJUST,Increase premium 15-30%
AIN DEFLA,AIN TORKI,Zone IIb,1,0.005,0.001,20.0,0.0,ACCEPT,Maintain current exposure
ALGER,BATNA,Zone III,2,0.005,0.002,40.0,0.0,ADJUST,Increase premium 15-30%
ALGER,ECH CHAIBA,Zone III,1,0.005,0.002,40.0,0.0,ADJUST,Increase premium 15-30%
CHLEF,LABIODH MEDJADJA,Zone III,2,0.005,0.002,40.0,0.0,ADJUST,Increase premium 15-30%
ALGER,HAMMA ANASSERS,Zone III,1,0.005,0.001,20.0,0.0,ACCEPT,Maintain current exposure
BOUMERDES,OULED AISSA,Zone IIb,3,0.004,0.001,25.0,0.0,ADJUST,Increase premium 15-30%
ALGER,BENDJERRAH,Zone III,1,0.004,0.001,25.0,0.0,ADJUST,Increase premium 15-30%
MOSTAGANEM,OULED BOUGHALEM,Zone III,1,0.004,0.001,25.0,0.0,ADJUST,Increase premium 15-30%
ALGER,OUED EL ALLEUG,Zone III,1,0.004,0.001,25.0,0.0,ADJUST,Increase premium 15-30%
ALGER,DJELFA,Zone III,2,0.004,0.001,25.0,0.0,ADJUST,Increase premium 15-30%
ALGER,BORDJ EL HAOUES,Zone III,1,0.004,0.001,25.0,0.0,ADJUST,Increase premium 15-30%
ALGER,AKABILI,Zone III,1,0.004,0.001,25.0,0.0,ADJUST,Increase premium 15-30%
ALGER,CHERAIA,Zone III,1,0.004,0.001,25.0,0.0,ADJUST,Increase premium 15-30%
ALGER,BOUHAROUN,Zone III,2,0.004,0.001,25.0,0.0,ADJUST,Increase premium 15-30%
ALGER,ZEDDINE,Zone III,1,0.004,0.001,25.0,0.0,ADJUST,Increase premium 15-30%
ALGER,EL KHROUB,Zone III,2,0.004,0.001,25.0,0.0,ADJUST,Increase premium 15-30%
BLIDA,SIDI AISSA,Zone III,2,0.004,0.001,25.0,0.0,ADJUST,Increase premium 15-30%
BOUMERDES,HARAOUA,Zone III,1,0.004,0.001,25.0,0.0,ADJUST,Increase premium 15-30%
BLIDA,CHREA,Zone III,1,0.004,0.001,25.0,0.0,ADJUST,Increase premium 15-30%
TIPAZA,DELY BRAHIM,Zone III,1,0.004,0.001,25.0,0.0,ADJUST,Increase premium 15-30%
TIPAZA,NADORAH,Zone III,1,0.003,0.001,33.33,0.0,ADJUST,Increase premium 15-30%
BOUMERDES,BORDJ EL BAHRI,Zone III,1,0.003,0.001,33.33,0.0,ADJUST,Increase premium 15-30%
AIN DEFLA,DHAYA,Zone III,1,0.003,0.001,33.33,0.0,ADJUST,Increase premium 15-30%
RELIZANE,DJIDIOUIA,Zone IIb,1,0.003,0.001,33.33,0.0,ADJUST,Increase premium 15-30%
TIPAZA,AIN NAGA,Zone III,1,0.003,0.001,33.33,0.0,ADJUST,Increase premium 15-30%
ALGER,CHAIBA,Zone III,1,0.003,0.001,33.33,0.0,ADJUST,Increase premium 15-30%
TIPAZA,EL KARIMIA,Zone III,1,0.003,0.001,33.33,0.0,ADJUST,Increase premium 15-30%
TIPAZA,KHEMIS MILIANA,Zone III,1,0.003,0.001,33.33,0.0,ADJUST,Increase premium 15-30%
TIPAZA,BERROUAGHIA,Zone III,1,0.003,0.001,33.33,0.0,ADJUST,Increase premium 15-30%
CHLEF,BOUZEGHAIA,Zone III,1,0.003,0.001,33.33,0.0,ADJUST,Increase premium 15-30%
ALGER,CORSO,Zone III,1,0.003,0.001,33.33,0.0,ADJUST,Increase premium 15-30%
ALGER,LAGHOUAT,Zone III,1,0.003,0.001,33.33,0.0,ADJUST,Increase premium 15-30%
CHLEF,ZEBOUDJA,Zone III,2,0.003,0.001,33.33,0.0,ADJUST,Increase premium 15-30%
CHLEF,AIN-DEFLA,Zone III,1,0.003,0.001,33.33,0.0,ADJUST,Increase premium 15-30%
ALGER,ZEMMOURI,Zone III,1,0.003,0.001,33.33,0.0,ADJUST,Increase premium 15-30%
BLIDA,LES EUCALYPTUS,Zone III,1,0.003,0.001,33.33,0.0,ADJUST,Increase premium 15-30%
BLIDA,DRARIA,Zone III,1,0.003,0.001,33.33,0.0,ADJUST,Increase premium 15-30%
BLIDA,DOUERA,Zone III,1,0.003,0.001,33.33,0.0,ADJUST,Increase premium 15-30%
TIPAZA,STAOUELI,Zone III,2,0.003,0.001,33.33,0.0,ADJUST,Increase premium 15-30%
BLIDA,ALGER,Zone III,1,0.003,0.001,33.33,0.0,ADJUST,Increase premium 15-30%
BLIDA,HAMMEDI,Zone III,2,0.002,0.001,50.0,0.0,ADJUST,Increase premium 15-30%
TIPAZA,TELAGHMA,Zone III,1,0.002,0.001,50.0,0.0,ADJUST,Increase premium 15-30%
TIPAZA,CHELGHOUM LAID,Zone III,1,0.002,0.001,50.0,0.0,ADJUST,Increase premium 15-30%
ALGER,AZAZGA,Zone III,1,0.002,0.0,0.0,0.0,ACCEPT,Maintain current exposure
ALGER,ANNABA,Zone III,1,0.002,0.001,50.0,0.0,ADJUST,Increase premium 15-30%
BLIDA,KOLEA,Zone III,1,0.002,0.001,50.0,0.0,ADJUST,Increase premium 15-30%
BOUMERDES,BORDJ BOU ARRERIDJ,Zone III,1,0.002,0.001,50.0,0.0,ADJUST,Increase premium 15-30%
BOUMERDES,BELIMOUR,Zone III,1,0.002,0.001,50.0,0.0,ADJUST,Increase premium 15-30%
BLIDA,LARBATACHE,Zone III,1,0.002,0.001,50.0,0.0,ADJUST,Increase premium 15-30%
BOUMERDES,OULED BRAHEM,Zone III,1,0.002,0.001,50.0,0.0,ADJUST,Increase premium 15-30%
AIN DEFLA,CHLEF,Zone III,1,0.002,0.001,50.0,0.0,ADJUST,Increase premium 15-30%
ALGER,DAR CHIOUKH,Zone III,1,0.002,0.001,50.0,0.0,ADJUST,Increase premium 15-30%
TIPAZA,BOUDOUAOU,Zone III,1,0.002,0.001,50.0,0.0,ADJUST,Increase premium 15-30%
CHLEF,ABOU EL HASSEN,Zone III,1,0.002,0.001,50.0,0.0,ADJUST,Increase premium 15-30%
AIN DEFLA,BENI HAOUA,Zone III,1,0.002,0.001,50.0,0.0,ADJUST,Increase premium 15-30%
AIN DEFLA,ADRAR,Zone III,1,0.002,0.001,50.0,0.0,ADJUST,Increase premium 15-30%
ALGER,AIN EL MELH,Zone III,2,0.002,0.001,50.0,0.0,ADJUST,Increase premium 15-30%
ALGER,AIN LAGRADJ,Zone III,1,0.002,0.001,50.0,0.0,ADJUST,Increase premium 15-30%
CHLEF,SENDJAS,Zone IIb,2,0.002,0.0,0.0,0.0,ACCEPT,Maintain current exposure
CHLEF,OUM DROU,Zone III,3,0.002,0.001,50.0,0.0,ADJUST,Increase premium 15-30%
ALGER,TADJENANET,Zone III,1,0.002,0.001,50.0,0.0,ADJUST,Increase premium 15-30%
ALGER,BOUGARA BLIDA,Zone III,2,0.002,0.001,50.0,0.0,ADJUST,Increase premium 15-30%
BLIDA,BARAKI,Zone III,2,0.002,0.001,50.0,0.0,ADJUST,Increase premium 15-30%
BLIDA,BIRTOUTA,Zone III,2,0.002,0.0,0.0,0.0,ACCEPT,Maintain current exposure
ALGER,ROUINA,Zone III,1,0.002,0.001,50.0,0.0,ADJUST,Increase premium 15-30%
BLIDA,AIN ROMANA,Zone IIb,1,0.002,0.0,0.0,0.0,ACCEPT,Maintain current exposure
ALGER,SKIKDA,Zone III,1,0.002,0.001,50.0,0.0,ADJUST,Increase premium 15-30%
BLIDA,INCONNU,Zone III,1,0.001,0.0,0.0,0.0,ACCEPT,Maintain current exposure
AIN DEFLA,DJEMAA OULED CHEIKH,Zone III,1,0.001,0.0,0.0,0.0,ACCEPT,Maintain current exposure
BOUMERDES,INCONNU,Zone III,1,0.001,0.0,0.0,0.0,ACCEPT,Maintain current exposure
BLIDA,HAMMAM MELOUANE,Zone IIb,1,0.001,0.0,0.0,0.0,ACCEPT,Maintain current exposure
BLIDA,DELY BRAHIM,Zone III,1,0.001,0.0,0.0,0.0,ACCEPT,Maintain current exposure
BLIDA,SIDI GHILES,Zone III,1,0.001,0.0,0.0,0.0,ACCEPT,Maintain current exposure
BLIDA,MEURAD,Zone III,1,0.001,0.0,0.0,0.0,ACCEPT,Maintain current exposure
CHLEF,OUED RHIOU,Zone III,1,0.001,0.0,0.0,0.0,ACCEPT,Maintain current exposure
CHLEF,DAHRA,Zone III,1,0.001,0.0,0.0,0.0,ACCEPT,Maintain current exposure
CHLEF,BENAIRIA,Zone III,1,0.001,0.0,0.0,0.0,ACCEPT,Maintain current exposure
ALGER,SIDI AHMED,Zone III,1,0.001,0.0,0.0,0.0,ACCEPT,Maintain current exposure
ALGER,MILA,Zone III,1,0.001,0.0,0.0,0.0,ACCEPT,Maintain current exposure
MEDEA,EL HAMDANIA,Zone IIb,1,0.001,0.0,0.0,0.0,ACCEPT,Maintain current exposure
ALGER,SIDI LAKHDAR AIN DEFLA,Zone III,1,0.001,0.0,0.0,0.0,ACCEPT,Maintain current exposure
CHLEF,TIMOKTEN,Zone III,1,0.001,0.0,0.0,0.0,ACCEPT,Maintain current exposure
TIPAZA,AIN BENIAN (AIN DEFLA),Zone III,1,0.001,0.0,0.0,0.0,ACCEPT,Maintain current exposure
TIPAZA,BORDJ BADJI MOKHTAR,Zone III,1,0.001,0.0,0.0,0.0,ACCEPT,Maintain current exposure
ALGER,AIN TEDLES,Zone III,1,0.001,0.0,0.0,0.0,ACCEPT,Maintain current exposure
ALGER,BARBACHA,Zone III,1,0.001,0.0,0.0,0.0,ACCEPT,Maintain current exposure
